KCAT	Lupinus luteus	-999	more	*
KCAT	Leishmania donovani	0.006	adenosine	*pH 7.5, 30&deg;C, recombinant mutant R69K/R131A
KCAT	Leishmania donovani	0.008	ATP	*pH 7.5, 30&deg;C, recombinant mutant R69K/R131A
KCAT	Homo sapiens	0.02	adenosine	*mutant Q74A/F338A, pH 7.5, 37&deg;C
KCAT	Anopheles gambiae	0.029	adenosine	*with CTP as cosubstrate, at 27&deg;C in 50 mM Tris buffer (pH 7.4) containing 5 mM MgCl2, 50 mM KCl, and 0.2 mM dithiothreitol
KCAT	Leishmania donovani	0.029	ATP	*pH 7.5, 30&deg;C, recombinant mutant R69A
KCAT	Leishmania donovani	0.032	ATP	*pH 7.5, 30&deg;C, recombinant mutant R69K
KCAT	Anopheles gambiae	0.035	adenosine	*with UTP as cosubstrate, at 27&deg;C in 50 mM Tris buffer (pH 7.4) containing 5 mM MgCl2, 50 mM KCl, and 0.2 mM dithiothreitol
KCAT	Leishmania donovani	0.038	adenosine	*pH 7.5, 30&deg;C, recombinant mutant R69A
KCAT	Leishmania donovani	0.043	adenosine	*pH 7.5, 30&deg;C, recombinant mutant R69K
KCAT	Homo sapiens	0.05	adenosine	*mutant Q74A, pH 7.5, 37&deg;C; mutant Q78A, pH 7.5, 37&deg;C
KCAT	Leishmania donovani	0.052	ATP	*pH 7.5, 30&deg;C, recombinant mutant R131A
KCAT	Anopheles gambiae	0.056	adenosine	*with TTP as cosubstrate, at 27&deg;C in 50 mM Tris buffer (pH 7.4) containing 5 mM MgCl2, 50 mM KCl, and 0.2 mM dithiothreitol
KCAT	Anopheles gambiae	0.061	UTP	*at 27&deg;C in 50 mM Tris buffer (pH 7.4) containing 5 mM MgCl2, 50 mM KCl, and 0.2 mM dithiothreitol
KCAT	Anopheles gambiae	0.062	CTP	*at 27&deg;C in 50 mM Tris buffer (pH 7.4) containing 5 mM MgCl2, 50 mM KCl, and 0.2 mM dithiothreitol
KCAT	Leishmania donovani	0.065	adenosine	*pH 7.5, 30&deg;C, recombinant mutant R131A
KCAT	Cricetulus griseus	0.07	adenosine	*recombinant enzyme, pH 7.2, 37&deg;C
KCAT	Homo sapiens	0.08	adenosine	*mutant F338A, pH 7.5, 37&deg;C
