KCAT	Rattus norvegicus	-999	more	*
KCAT	Bacillus cereus	0.0007	NAD+	*mutant enzyme C300S, with all-trans-retinal as cosubstrate, at pH 7.0 and 37&deg;C
KCAT	Bacillus cereus	0.0017	NAD+	*wild type enzyme, with all-trans-retinal as cosubstrate, at pH 7.0 and 37&deg;C
KCAT	Bacillus cereus	0.005	all-trans-retinal	*with NAD+ as cosubstrate, at pH 7.0 and 37&deg;C
KCAT	Bacillus cereus	0.005	NAD+	*mutant enzyme E194S, with all-trans-retinal as cosubstrate, at pH 7.0 and 37&deg;C
KCAT	Bacillus cereus	0.026	NAD+	*mutant enzyme E457V, with all-trans-retinal as cosubstrate, at pH 7.0 and 37&deg;C
KCAT	Bacillus cereus	0.183	acetaldehyde	*at pH 7.0 and 37&deg;C
KCAT	Bacillus cereus	0.217	benzaldehyde	*at pH 7.0 and 37&deg;C
KCAT	Homo sapiens	0.47	Chloroacetaldehyde	*mutant enzyme T244S, in 25 mM Na-HEPES buffer (pH 7.4), temperature not specified in the publication
KCAT	Homo sapiens	0.47	NAD+	*mutant enzyme T244S, in 25 mM Na-HEPES buffer (pH 7.4), temperature not specified in the publication
KCAT	Homo sapiens	0.63	Chloroacetaldehyde	*mutant enzyme T244G, in 25 mM Na-HEPES buffer (pH 7.4), temperature not specified in the publication
KCAT	Homo sapiens	0.63	NAD+	*mutant enzyme T244G, in 25 mM Na-HEPES buffer (pH 7.4), temperature not specified in the publication
KCAT	Sulfurisphaera tokodaii	0.83	D-glyceraldehyde 3-phosphate	*pH 8, 80&deg;C
KCAT	Bacillus licheniformis	0.91	Isovaleraldehyde	*with NADP+ as cosubstrate, in 50 mM potassium phosphate buffer (pH 7.0), 1 mM dithiothreitol, at 37&deg;C
KCAT	Sulfurisphaera tokodaii	0.92	D-glyceraldehyde	*pH 8, 80&deg;C
KCAT	Bacillus licheniformis	1.11	acetaldehyde	*with NADP+ as cosubstrate, in 50 mM potassium phosphate buffer (pH 7.0), 1 mM dithiothreitol, at 37&deg;C
KCAT	Sulfurisphaera tokodaii	1.14	acetaldehyde	*pH 8, 80&deg;C
KCAT	Sulfurisphaera tokodaii	2.05	NAD+	*pH 8, 80&deg;C
KCAT	Homo sapiens	2.5	Chloroacetaldehyde	*mutant enzyme T244V, in 25 mM Na-HEPES buffer (pH 7.4), temperature not specified in the publication
KCAT	Homo sapiens	2.5	NAD+	*mutant enzyme T244V, in 25 mM Na-HEPES buffer (pH 7.4), temperature not specified in the publication
KCAT	Bacillus licheniformis	3.58	Isovaleraldehyde	*with NAD+ as cosubstrate, in 50 mM potassium phosphate buffer (pH 7.0), 1 mM dithiothreitol, at 37&deg;C
KCAT	Sulfurisphaera tokodaii	3.71	NADP+	*pH 8, 80&deg;C
KCAT	Homo sapiens	4	Chloroacetaldehyde	*mutant enzyme T244A, in 25 mM Na-HEPES buffer (pH 7.4), temperature not specified in the publication
KCAT	Homo sapiens	4	NAD+	*mutant enzyme T244A, in 25 mM Na-HEPES buffer (pH 7.4), temperature not specified in the publication
KCAT	Bacillus licheniformis	4.46	acetaldehyde	*with NAD+ as cosubstrate, in 50 mM potassium phosphate buffer (pH 7.0), 1 mM dithiothreitol, at 37&deg;C
KCAT	Homo sapiens	7.7	Chloroacetaldehyde	*wild type enzyme, in 25 mM Na-HEPES buffer (pH 7.4), temperature not specified in the publication
KCAT	Homo sapiens	7.7	NAD+	*wild type enzyme, in 25 mM Na-HEPES buffer (pH 7.4), temperature not specified in the publication
KCAT	Bacillus licheniformis	11.5	Butyraldehyde	*with NADP+ as cosubstrate, in 50 mM potassium phosphate buffer (pH 7.0), 1 mM dithiothreitol, at 37&deg;C
KCAT	Bacillus licheniformis	13.36	propionaldehyde	*with NADP+ as cosubstrate, in 50 mM potassium phosphate buffer (pH 7.0), 1 mM dithiothreitol, at 37&deg;C
KCAT	Mus musculus	18.8	NAD+	*reaction with benzyladehyde
KCAT	Bacillus licheniformis	19.41	Valeraldehyde	*with NADP+ as cosubstrate, in 50 mM potassium phosphate buffer (pH 7.0), 1 mM dithiothreitol, at 37&deg;C
KCAT	Mus musculus	20.9	benzaldehyde	*
KCAT	Mus musculus	26.1	4-hydroxynonenal	*
KCAT	Bacillus licheniformis	30.99	Valeraldehyde	*with NAD+ as cosubstrate, in 50 mM potassium phosphate buffer (pH 7.0), 1 mM dithiothreitol, at 37&deg;C
KCAT	Bacillus licheniformis	32.8	Butyraldehyde	*with NAD+ as cosubstrate, in 50 mM potassium phosphate buffer (pH 7.0), 1 mM dithiothreitol, at 37&deg;C
KCAT	Mus musculus	33.1	NADP+	*reaction with benzaldehyde
KCAT	Mus musculus	33.5	acetaldehyde	*
KCAT	Mus musculus	34	hexanal	*
KCAT	Homo sapiens	34	hexanal	*
KCAT	Mus musculus	35.1	trans-2-hexenal	*
KCAT	Homo sapiens	35.9	acetaldehyde	*
KCAT	Homo sapiens	38.8	NADP+	*reaction with benzaldehyde
KCAT	Homo sapiens	45.3	NAD+	*reaction with benzaldehyde
KCAT	Bacillus licheniformis	49.38	propionaldehyde	*with NAD+ as cosubstrate, in 50 mM potassium phosphate buffer (pH 7.0), 1 mM dithiothreitol, at 37&deg;C
KCAT	Homo sapiens	51	benzaldehyde	*
KCAT	Homo sapiens	53	trans-2-hexenal	*
