KCAT	Escherichia coli	12.4	N-acetyl-D-glucosamine 1-phosphate	*GmlU uridyltransferase
KCAT	Sulfurisphaera tokodaii	12.6	alpha-D-galactosamine 1-phosphate	*pH 7.5, 80&deg;C, deletion mutant D011 of ST0452 protein
KCAT	Sulfurisphaera tokodaii	17.9	alpha-D-galactosamine 1-phosphate	*pH 7.5, 80&deg;C, deletion mutant D005 of ST0452 protein
KCAT	Sulfurisphaera tokodaii	69.7	alpha-D-galactosamine 1-phosphate	*pH 7.5, 80&deg;C, wild-type ST0452 protein
KCAT	Mycobacterium tuberculosis	82.47	acetyl-CoA	*pH 7.5, 25&deg;C
KCAT	Mycobacterium tuberculosis	82.47	alpha-D-glucosamine 1-phosphate	*pH 7.5, 25&deg;C
KCAT	Sulfurisphaera tokodaii	123.2	alpha-D-glucosamine 1-phosphate	*pH 7.5, 80&deg;C
KCAT	Sulfurisphaera tokodaii	123.2	alpha-D-glucosamine 1-phosphate	*pH 7.5, 80&deg;C, wild-type enzyme; pH 7.5, 80&deg;C, wild-type ST0452 protein
KCAT	Sulfurisphaera tokodaii	490.6	alpha-D-glucosamine 1-phosphate	*pH 7.5, 80&deg;C, deletion mutant D005 of ST0452 protein; pH 7.5, 80&deg;C, mutant enzyme DC005 with a deletion of the C-terminal 5 residues of the ST0452 protein
KCAT	Yersinia pestis	828	alpha-D-glucosamine 1-phosphate	*pH 8.2, 37&deg;C
KCAT	Yersinia pseudotuberculosis	828	alpha-D-glucosamine 1-phosphate	*pH 8.2, 37&deg;C, recombinant His6-tagged enzyme
KCAT	Yersinia pestis	853	acetyl-CoA	*pH 8.2, 37&deg;C
KCAT	Yersinia pseudotuberculosis	853	acetyl-CoA	*pH 8.2, 37&deg;C, recombinant His6-tagged enzyme
KCAT	Sulfurisphaera tokodaii	2311	alpha-D-glucosamine 1-phosphate	*pH 7.5, 80&deg;C, deletion mutant D011 of ST0452 protein; pH 7.5, 80&deg;C, mutant enzyme DC011 with a deletion of the C-terminal 11 residues of the ST0452 protein
