KCAT	Escherichia coli	0.00041	L-glutamate	*mutant C229R GlnRS, with tRNAGln
KCAT	Escherichia coli	0.0025	L-glutamine	*mutant C229R GlnRS, with tRNAGln
KCAT	Thermosynechococcus elongatus	0.036	tRNAGln	*
KCAT	Bacillus subtilis	0.04	tRNAGln	*homologous tRNAGln
KCAT	Escherichia coli	0.04	tRNAGln	*recombinant hybrid GlnRS S1/L1/L2, pH not specified in the publication, temperature not specified in the publication
KCAT	Bacillus subtilis	0.05	tRNAGlu	*homologous tRNAGlu
KCAT	Bacillus subtilis	0.07	tRNAGln	*tRNAGln from E. coli
KCAT	Escherichia coli	0.09	L-Glu	*recombinant hybrid GlnRS S1/L1/L2, pH not specified in the publication, temperature not specified in the publication
KCAT	Methanothermobacter thermautotrophicus	0.09	L-Glu	*recombinant hybrid GlnRS S1/L1/L2, pH not specified in the publication, temperature not specified in the publication
KCAT	Escherichia coli	0.1	ATP	*recombinant hybrid GlnRS S1/L1/L2, pH not specified in the publication, temperature not specified in the publication
KCAT	Methanothermobacter thermautotrophicus	0.1	ATP	*recombinant hybrid GlnRS S1/L1/L2, pH not specified in the publication, temperature not specified in the publication
KCAT	Methanothermobacter thermautotrophicus	0.1	tRNAGln	*recombinant hybrid GlnRS S1/L1/L2, pH not specified in the publication, temperature not specified in the publication
KCAT	Thermosynechococcus elongatus	0.1	tRNAGlu	*
