KCAT	Candida tropicalis	-999	more	*pH-dependency of turnover number
KCAT	Rattus norvegicus	0.0053	trans-3-decenoyl-CoA	*mutant E421D
KCAT	Rattus norvegicus	0.012	trans-3-octenoyl-CoA	*mutant E421D
KCAT	Rattus norvegicus	0.01567	trans-3-decenoyl-CoA	*wild-type
KCAT	Rattus norvegicus	0.0283	trans-3-hexenoyl-CoA	*mutant E421D
KCAT	Rattus norvegicus	0.04	cis-3-decenoyl-CoA	*mutant E421D
KCAT	Rattus norvegicus	0.045	trans-3-octenoyl-CoA	*wild-type
KCAT	Rattus norvegicus	0.05	trans-3-hexenoyl-CoA	*wild-type
KCAT	Rattus norvegicus	0.053	cis-3-octenoyl-CoA	*mutant E421D
KCAT	Rattus norvegicus	0.06167	cis-3-decenoyl-CoA	*wild-type
KCAT	Glutamicibacter nicotianae	0.07	octanoyl-CoA	*
KCAT	Rattus norvegicus	0.075	cis-3-octenoyl-CoA	*wild-type
KCAT	Rattus norvegicus	0.089	hexanoyl-CoA	*in 50 mM phosphate buffer, pH 7.4, at 30&deg;C
KCAT	Rattus norvegicus	0.165	cis-3-hexenoyl-CoA	*mutant E421D
KCAT	Glutamicibacter nicotianae	0.203	hexanoyl-CoA	*
KCAT	Glutamicibacter nicotianae	0.225	butyryl-CoA	*
KCAT	Rattus norvegicus	0.35	cis-3-hexenoyl-CoA	*wild-type
KCAT	Yarrowia lipolytica	1.53	decanoyl-CoA	*recombinant enzyme
KCAT	Rattus norvegicus	2.18	octanoyl-CoA	*pH 7.4, 30&deg;C, mutant enzyme E421D
KCAT	Rattus norvegicus	3.47	octanoyl-CoA	*pH 7.4, 30&deg;C, wild-type enzyme
KCAT	Yarrowia lipolytica	8.59	hexanoyl-CoA	*recombinant enzyme
KCAT	Paenarthrobacter ureafaciens	78	palmitoyl-CoA	*
