KCAT	Plasmodium falciparum	0.000036	Suc-LLVY-4-methylcoumarin-7-amide	*30&deg;C, pH 7.0, PfClpP is a very weak peptidase on its own
KCAT	Staphylococcus aureus	0.003	N-succinyl-Leu-Tyr-7-amido-4-methylcoumarin	*mutant L144M, pH and temperature not specified in the publication
KCAT	Escherichia coli	0.0077	fEGFP-ssrA	*presence of adaptor protein SspB, pH 7.6, 30&deg;C
KCAT	Escherichia coli	0.0083	fEGFP-ssrA	*absence of adaptor protein SspB, pH 7.6, 30&deg;C
KCAT	Staphylococcus aureus	0.093	N-succinyl-Leu-Tyr-7-amido-4-methylcoumarin	*wild-type, pH and temperature not specified in the publication
KCAT	Escherichia coli	0.33	insulin chain B	*ClpAP
KCAT	Escherichia coli	0.34	insulin chain B	*ClpPDELTAN
KCAT	Escherichia coli	0.35	insulin chain B	*wild-type ClpP
KCAT	Escherichia coli	0.383	31-knotted methyltransferase YbeA-ssrA	*pH 7.6, 30&deg;C
KCAT	Escherichia coli	0.5	glucagon	*value below
KCAT	Escherichia coli	0.5	N-succinyl-Leu-Tyr-7-amido-4-methylcoumarin	*mutant A153C, reducing conditions, 4&deg;C, pH not specified in the publication
KCAT	Escherichia coli	0.5	oxidized insulin B-chain	*value below
KCAT	Escherichia coli	1.17	ATP	*ATPase activity
KCAT	Escherichia coli	2.17	ATP	*proteolysis
KCAT	Escherichia coli	9.6	N-succinyl-Leu-Tyr-7-amido-4-methylcoumarin	*wild-type, non-reducing conditions, 4&deg;C, pH not specified in the publication
KCAT	Escherichia coli	13.3	Phe-Ala-Pro-His-Met-Ala-Leu-Val-Pro-Val	*
KCAT	Escherichia coli	15.8	N-succinyl-Leu-Tyr-7-amido-4-methylcoumarin	*wild-type, reducing conditions, 4&deg;C, pH not specified in the publication
