KCAT	Aspergillus flavus	-999	more	*Km and kcat values of the enzyme are determined to be 26.72/s using colloidal chitin as substrate
KCAT	Sinorhizobium meliloti	0.38	GlcNAc-beta-(1-4)-GlcNAc	*pH 7.2, 30&deg;C, recombinant His-tagged enzyme
KCAT	Sinorhizobium meliloti	0.45	GlcNAc-beta-(1-4)-GlcNAc-beta-(1-4)-GlcN-beta-(1-4)-GlcNAc	*pH 7.2, 30&deg;C, recombinant His-tagged enzyme
KCAT	Aspergillus nidulans	1.4	penta-N-acetyl-chitopentaose	*pH 8.0, 50&deg;C, recombinant enzyme
KCAT	Colletotrichum lindemuthianum	1.53	GlcNAcbeta(1-4)GlcNAcbeta(1-4)GlcNAc	*pH 7.0, 37&deg;C, fluorogenic labeling method assay
KCAT	Colletotrichum lindemuthianum	5.4	GlcNAc-beta-(1-4)-GlcNAc-beta-(1-4)-GlcNAc-beta-(1-4)-GlcNAc-beta-(1-4)-GlcNAc-beta-(1-4)-GlcNAc	*pH 8.5, 30&deg;C
KCAT	Colletotrichum lindemuthianum	5.94	(N-acetyl-D-glucosamine)3	*
KCAT	Colletotrichum lindemuthianum	6	GlcNAc-beta-(1-4)-GlcNAc-beta-(1-4)-GlcNAc	*pH 8.5, 30&deg;C
KCAT	Colletotrichum lindemuthianum	6	GlcNAcbeta(1-4)GlcNAcbeta(1-4)GlcNAc	*pH 8.5, 30&deg;C, continuous spectrophotometric assay
KCAT	Aspergillus nidulans	6.25	glycol chitin	*purified enzyme, at pH 8.0 and 50&deg;C
KCAT	Colletotrichum lindemuthianum	7	GlcNAc-beta-(1-4)-GlcNAc-beta-(1-4)-GlcNAc-beta-(1-4)-GlcNAc	*pH 8.5, 30&deg;C
KCAT	Colletotrichum lindemuthianum	7	GlcNAcbeta(1-4)GlcNAcbeta(1-4)GlcNAcbeta(1-4)GlcNAc	*pH 8.5, 30&deg;C, continuous spectrophotometric assay
KCAT	Colletotrichum lindemuthianum	7	GlcNAc-beta-(1-4)-GlcNAc-beta-(1-4)-GlcNAc-beta-(1-4)-GlcNAc-beta-(1-4)-GlcNAc	*pH 8.5, 30&deg;C
KCAT	Colletotrichum lindemuthianum	8.52	(N-acetyl-D-glucosamine)2	*
KCAT	Colletotrichum lindemuthianum	11	GlcNAc-beta-(1-4)-GlcNAc	*pH 8.5, 30&deg;C
KCAT	Colletotrichum lindemuthianum	11	GlcNAcbeta(1-4)GlcNAc	*pH 8.5, 30&deg;C, continuous spectrophotometric assay
KCAT	Colletotrichum lindemuthianum	21.5	(N-acetyl-D-glucosamine)5	*S12-CDAH
KCAT	Colletotrichum lindemuthianum	22.7	GlcNGlcNAcGlcNAcGlcNAc	*
KCAT	Colletotrichum lindemuthianum	27.2	glycol chitin	*
KCAT	Colletotrichum lindemuthianum	30.3	(N-acetyl-D-glucosamine)5	*S1-CDAH
KCAT	Colletotrichum lindemuthianum	31	2-acetamido-2-deoxy-beta-D-glucopyranosyl-(1-4)-2-acetamido-2-deoxy-beta-D-glucopyranosyl-(1-4)-2-bromoacetamido-2-deoxy-beta-D-glucopyranosyl-(1-4)-2-acetamido-2-deoxy-D-glucose	*pH 8.5, 30&deg;C, continuous spectrophotometric assay
KCAT	Colletotrichum lindemuthianum	47	2-acetamido-2-deoxy-beta-D-glucopyranosyl-(1-4)-2-acetamido-2-deoxy-beta-D-glucopyranosyl-(1-4)-2-chloroacetamido-2-deoxy-beta-D-glucopyranosyl-(1-4)-2-acetamido-2-deoxy-D-glucose	*pH 8.5, 30&deg;C, continuous spectrophotometric assay
KCAT	Colletotrichum lindemuthianum	47.1	(N-acetyl-D-glucosamine)5	*original CDA
KCAT	Colletotrichum lindemuthianum	51.6	(N-acetyl-D-glucosamine)5	*S1-CDA
KCAT	Colletotrichum lindemuthianum	53.1	(N-acetyl-D-glucosamine)4	*
KCAT	Colletotrichum lindemuthianum	53.1	(N-acetyl-D-glucosamine)5	*
KCAT	Colletotrichum lindemuthianum	57.5	GlcNAcGlcNGlcNAcGlcNAc	*
KCAT	Colletotrichum lindemuthianum	58.7	GlcNAcGlcNAcGlcNAcGlcN	*
KCAT	Colletotrichum lindemuthianum	68	2-acetamido-2-deoxy-beta-D-glucopyranosyl-(1-4)-2-acetamido-2-deoxy-beta-D-glucopyranosyl-(1-4)-2-fluoroacetamido-2-deoxy-beta-D-glucopyranosyl-(1-4)-2-acetamido-2-deoxy-D-glucose	*pH 8.5, 30&deg;C, continuous spectrophotometric assay
KCAT	Colletotrichum lindemuthianum	83.8	(N-acetyl-D-glucosamine)5	*
KCAT	Colletotrichum lindemuthianum	96.9	(N-acetyl-D-glucosamine)4	*
