KCAT	Arabidopsis thaliana	-999	more	*turnover rate of AthTRZ1 eight-fold reduced if compared to tRNAse Z of Escherichia coli
KCAT	Drosophila melanogaster	0.0049	pre-tRNAHis-CCA	*
KCAT	Homo sapiens	0.012	pre-tRNASer(UCN)7445C	*25 mM K-MOPS, pH 6.75, 2.5 mM CaCl2, 1 mM dithiothreitol, 5% glycerol, 4 U/ml RNasin, 100 microg/ml bovine serum albumin
KCAT	Homo sapiens	0.018	pre-tRNAIle	*25 mM K-MOPS, 2 mM MgCl2, at pH 6.8 and 37&Acirc;&deg;C
KCAT	Homo sapiens	0.021	pre-tRNAArg	*25 mM K-MOPS, pH 6.75, 1 mM MnCl2, 1 mM dithiothreitol, 5% glycerol, 4 U/ml RNasin, 100 microg/ml bovine serum albumin
KCAT	Homo sapiens	0.035	pre-tRNAGly	*25 mM K-MOPS, 2 mM MgCl2, at pH 6.8 and 37&Acirc;&deg;C
KCAT	Homo sapiens	0.05	pre-tRNASer(UCN)7510G	*25 mM K-MOPS, pH 6.75, 2.5 mM CaCl2, 1 mM dithiothreitol, 5% glycerol, 4 U/ml RNasin, 100 microg/ml bovine serum albumin
KCAT	Homo sapiens	0.05	pre-tRNASer(UCN)7511G	*25 mM K-MOPS, pH 6.75, 2.5 mM CaCl2, 1 mM dithiothreitol, 5% glycerol, 4 U/ml RNasin, 100 microg/ml bovine serum albumin
KCAT	Homo sapiens	0.05	pre-tRNASer(UCN)7512G	*25 mM K-MOPS, pH 6.75, 2.5 mM CaCl2, 1 mM dithiothreitol, 5% glycerol, 4 U/ml RNasin, 100 microg/ml bovine serum albumin
KCAT	Homo sapiens	0.07	pre-tRNASer(UCN)	*25 mM K-MOPS, pH 6.75, 2.5 mM CaCl2, 1 mM dithiothreitol, 5% glycerol, 4 U/ml RNasin, 100 microg/ml bovine serum albumin
KCAT	Drosophila melanogaster	0.083	pre-tRNAHis	*
KCAT	Synechocystis sp.	0.14	pre-tRNAGlu-CCUN17	*40 mM Tris-HCl pH 7.5, 2 mM dithiothreitol
KCAT	Homo sapiens	0.153	pre-tRNASer(UCN)7444U	*25 mM K-MOPS, pH 6.75, 2.5 mM CaCl2, 1 mM dithiothreitol, 5% glycerol, 4 U/ml RNasin, 100 microg/ml bovine serum albumin
KCAT	Homo sapiens	0.23	pre-tRNASer(UCN)7443C	*25 mM K-MOPS, pH 6.75, 2.5 mM CaCl2, 1 mM dithiothreitol, 5% glycerol, 4 U/ml RNasin, 100 microg/ml bovine serum albumin
KCAT	Homo sapiens	0.237	pre-tRNAHis	*25 mM K-MOPS, 2 mM MgCl2, at pH 6.8 and 37&Acirc;&deg;C
KCAT	Homo sapiens	0.25	pre-tRNALeu(UUR)	*25 mM K-MOPS, 3 mM CaCl2, at pH 6.8 and 37&Acirc;&deg;C
KCAT	Homo sapiens	0.27	pre-tRNA(Val)	*
KCAT	Synechocystis sp.	0.28	pre-tRNAGlu-CUAN17	*40 mM Tris-HCl pH 7.5, 2 mM dithiothreitol
KCAT	Homo sapiens	0.345	pre-tRNASer(UCN)7445G	*25 mM K-MOPS, pH 6.75, 2.5 mM CaCl2, 1 mM dithiothreitol, 5% glycerol, 4 U/ml RNasin, 100 microg/ml bovine serum albumin
KCAT	Drosophila melanogaster	0.365	pre-tRNAHis-AUG	*
KCAT	Homo sapiens	0.67	pre-tRNA(Arg)	*
KCAT	Synechocystis sp.	2.25	pre-tRNAGlu-UUAN17	*40 mM Tris-HCl pH 7.5, 2 mM dithiothreitol
KCAT	Homo sapiens	6.18	pre-tRNAArg	*25 mM K-MOPS, pH 6.75, 2 mM MgCl2, 1 mM dithiothreitol, 5% glycerol, 4 U/ml RNasin, 100 microg/ml bovine serum albumin
