KCAT	Cellulomonas fimi	-999	more	*as the enzyme is inhibited by the substrate p-nitrophenyl-beta-mannoside at concentrations above 0.4 mM, the turnover number of 167 per s is only an estimate
KCAT	Bacteroides thetaiotaomicron	0.00183	2,4-dinitrophenyl-beta-D-mannopyranoside	*mutant enzyme E555A, at 37&deg;C in 43.5 mM sodium phosphate, 10 mM citric acid buffer, pH 5.6, containing 1 mg/ml bovine serum albumin
KCAT	Bacteroides thetaiotaomicron	0.008	2,4-dinitrophenyl-beta-D-mannopyranoside	*mutant enzyme E462A, at 37&deg;C in 43.5 mM sodium phosphate, 10 mM citric acid buffer, pH 5.6, containing 1 mg/ml bovine serum albumin
KCAT	Bacteroides thetaiotaomicron	0.0097	p-nitrophenyl-beta-D-mannopyranoside	*mutant enzyme E555A, at 37&deg;C in 43.5 mM sodium phosphate, 10 mM citric acid buffer, pH 5.6, containing 1 mg/ml bovine serum albumin
KCAT	Cellvibrio mixtus	0.033	4-nitrophenyl-beta-D-mannopyranose	*pH 7.0, 37&deg;C, wild-type enzyme
KCAT	Bacteroides thetaiotaomicron	0.045	p-nitrophenyl-beta-D-mannopyranoside	*mutant enzyme D199A, at 37&deg;C in 43.5 mM sodium phosphate, 10 mM citric acid buffer, pH 5.6, containing 1 mg/ml bovine serum albumin
KCAT	Cellvibrio mixtus	0.053	beta-D-mannosyl-1,4-beta-D-glucoside	*pH 7.0, 37&deg;C, wild-type enzyme
KCAT	Bacteroides thetaiotaomicron	0.092	p-nitrophenyl-beta-D-mannopyranoside	*mutant enzyme E462A, at 37&deg;C in 43.5 mM sodium phosphate, 10 mM citric acid buffer, pH 5.6, containing 1 mg/ml bovine serum albumin
KCAT	Cellvibrio mixtus	0.1	4-nitrophenyl-beta-mannopyranose	*pH 7.0, 37&deg;C, mutant enzyme E215A
KCAT	Bacteroides thetaiotaomicron	0.25	p-nitrophenyl-beta-D-mannopyranoside	*mutant enzyme N461A, at 37&deg;C in 43.5 mM sodium phosphate, 10 mM citric acid buffer, pH 5.6, containing 1 mg/ml bovine serum albumin
KCAT	Bacteroides thetaiotaomicron	0.478	p-nitrophenyl-beta-D-mannopyranoside	*mutant enzyme W645A, at 37&deg;C in 43.5 mM sodium phosphate, 10 mM citric acid buffer, pH 5.6, containing 1 mg/ml bovine serum albumin
KCAT	Hordeum vulgare	0.5	4-nitrophenyl-beta-D-glucopyranose	*pH 4.0, 30&deg;C
KCAT	Bacteroides thetaiotaomicron	0.85	2,4-dinitrophenyl-beta-D-mannopyranoside	*mutant enzyme N461A, at 37&deg;C in 43.5 mM sodium phosphate, 10 mM citric acid buffer, pH 5.6, containing 1 mg/ml bovine serum albumin
KCAT	Bacteroides thetaiotaomicron	0.886	p-nitrophenyl-beta-D-mannopyranoside	*mutant enzyme W395A, at 37&deg;C in 43.5 mM sodium phosphate, 10 mM citric acid buffer, pH 5.6, containing 1 mg/ml bovine serum albumin
KCAT	Pyrococcus horikoshii	1.6	4-nitrophenyl beta-D-mannopyranoside	*pH 5.0, 90&deg;C, mutant enzyme Q77R
KCAT	Cellvibrio mixtus	2.17	4-O-beta-D-mannopyranosyl-D-mannopyranose	*pH 7.0, 37&deg;C, wild-type enzyme
KCAT	Hordeum vulgare	3.1	4-nitrophenyl-beta-D-mannopyranose	*pH 4.0, 30&deg;C
KCAT	Bacteroides thetaiotaomicron	3.5	p-nitrophenyl-beta-D-mannopyranoside	*mutant enzyme W198A, at 37&deg;C in 43.5 mM sodium phosphate, 10 mM citric acid buffer, pH 5.6, containing 1 mg/ml bovine serum albumin
KCAT	Pyrococcus horikoshii	4.2	4-nitrophenyl beta-D-mannopyranoside	*pH 5.0, 90&deg;C, wild-type enzyme
KCAT	Bacteroides thetaiotaomicron	6.08	p-nitrophenyl-beta-D-mannopyranoside	*mutant enzyme W395A, at 37&deg;C in 43.5 mM sodium phosphate, 10 mM citric acid buffer, pH 5.6, containing 1 mg/ml bovine serum albumin
KCAT	Pyrococcus horikoshii	6.8	4-nitrophenyl beta-D-mannopyranoside	*pH 5.0, 90&deg;C, mutant enzyme Q77R/D206N
KCAT	Pyrococcus horikoshii	13.5	4-nitrophenyl beta-D-galactopyranoside	*pH 5.0, 90&deg;C, wild-type enzyme
KCAT	Pyrococcus horikoshii	14.2	4-nitrophenyl beta-D-galactopyranoside	*pH 5.0, 90&deg;C, mutant enzyme Q77R
KCAT	Bacteroides thetaiotaomicron	15.9	p-nitrophenyl-beta-D-mannopyranoside	*mutant enzyme Y537A, at 37&deg;C in 43.5 mM sodium phosphate, 10 mM citric acid buffer, pH 5.6, containing 1 mg/ml bovine serum albumin
KCAT	Bacteroides thetaiotaomicron	20.38	p-nitrophenyl-beta-D-mannopyranoside	*mutant enzyme W198A, at 37&deg;C in 43.5 mM sodium phosphate, 10 mM citric acid buffer, pH 5.6, containing 1 mg/ml bovine serum albumin
KCAT	Thermococcus kodakarensis	20.69	4-nitrophenyl beta-D-mannopyranoside	*80&deg;C, pH is not specified in the publication, mutant enzyme D206N
