KCAT	Prunus dulcis	-999	more	*estimation of kinetic parameters by progress curve analysis
KCAT	Granulicella tundricola	0.03	(R)-mandelonitrile	*pH 4.5, 25&deg;C
KCAT	Prunus dulcis	26.3	(R)-4-methylsulfanylbenzaldehyde	*pH 4.2, 25&deg;C, isoenzyme HNL4
KCAT	Passiflora edulis	38.4	benzaldehyde	*25&deg;C, pH 4, hydroxynitrile lyaseexpressed in Escherichia coli
KCAT	Passiflora edulis	39.7	benzaldehyde	*25&deg;C, pH 4, hydroxynitrile lyase mutant N105Q expressed in Pichia pastoris
KCAT	Prunus dulcis	40.3	(R)-4-methylsulfanylbenzaldehyde	*pH 4.2, 25&deg;C, isoenzyme HNL2
KCAT	Prunus armeniaca	43.3	benzaldehyde	*pH 5.0, 25&deg;C
KCAT	Chamberlinius hualienensis	49	4-biphenylcarboxaldehyde	*pH 4.2, 22&deg;C
KCAT	Passiflora edulis	50.9	benzaldehyde	*25&deg;C, pH 4, hydroxynitrile lyase from leaves
KCAT	Passiflora edulis	52.1	benzaldehyde	*25&deg;C, pH 4, hydroxynitrile lyase expressed in Pichia pastoris
KCAT	Eriobotrya japonica	56	(R)-mandelonitrile	*pH 5.5
KCAT	Eriobotrya japonica	110	Isobutyraldehyde	*pH 5.5
KCAT	Prunus dulcis	139	(R)-4-methylsulfanylbenzaldehyde	*pH 4.2, 25&deg;C, isoenzyme HNL1
KCAT	Prunus dulcis	142	(R)-4-methylsulfanylbenzaldehyde	*pH 4.2, 25&deg;C, isoenzyme HNL5
KCAT	Davallia tyermannii	144	(R)-mandelonitrile	*pH 5.0, temperature not specified in the publication, enzyme form DtHNL1
KCAT	Davallia tyermannii	156	(R)-mandelonitrile	*pH 5.0, temperature not specified in the publication, enzyme form DtHNL2
KCAT	Eriobotrya japonica	164	pivaldehyde	*pH 5.5
KCAT	Eriobotrya japonica	223	propionaldehyde	*pH 5.5
KCAT	Prunus dulcis	240	(R)-mandelonitrile	*pH 4.2, 25&deg;C, isoenzyme HNL1
KCAT	Davallia tyermannii	272	(R)-mandelonitrile	*pH 5.0, temperature not specified in the publication, enzyme form DtHNL4
KCAT	Chamberlinius hualienensis	300	2,4-dimethylbenzaldehyde	*pH 4.2, 22&deg;C
KCAT	Eriobotrya japonica	334	piperonal	*pH 5.5
KCAT	Davallia tyermannii	356	(R)-mandelonitrile	*pH 5.0, temperature not specified in the publication, enzyme form DtHNL3
KCAT	Prunus dulcis	380	(R)-mandelonitrile	*pH 4.2, 25&deg;C, isoenzyme HNL2
KCAT	Eriobotrya japonica	582	p-anisaldehyde	*pH 5.5
KCAT	Amygdalus pedunculata Pall	676.5	(R)-mandelonitrile	*pH 5.5, 50&deg;C
KCAT	Prunus dulcis	817	(R)-mandelonitrile	*pH 4.2, 25&deg;C, isoenzyme HNL5
KCAT	Prunus dulcis	818	(R)-mandelonitrile	*pH 4.2, 25&deg;C, isoenzyme HNL4
KCAT	Prunus armeniaca	1130.4	(R)-mandelonitrile	*pH 5.0, 25&deg;C
KCAT	Eriobotrya japonica	1160	2-naphthaldehyde	*pH 5.5
KCAT	Chamberlinius hualienensis	1490	2-thiophenecarboxaldehyde	*pH 4.2, 22&deg;C
KCAT	Chamberlinius hualienensis	1680	3-Methoxybenzaldehyde	*pH 4.2, 22&deg;C
KCAT	Eriobotrya japonica	1700	benzaldehyde	*pH 5.5
KCAT	Chamberlinius hualienensis	3390	benzaldehyde	*pH 4.2, 22&deg;C
KCAT	Chamberlinius hualienensis	3480	4-methoxybenzaldehyde	*pH 4.2, 22&deg;C
KCAT	Chamberlinius hualienensis	5520	4-methylbenzaldehyde	*pH 4.2, 22&deg;C
KCAT	Chamberlinius hualienensis	6890	3-methylbenzaldehyde	*pH 4.2, 22&deg;C
KCAT	Chamberlinius hualienensis	8610	4-bromobenzaldehyde	*pH 4.2, 22&deg;C
