KCAT	Trichoderma reesei	-999	4-nitrophenyl-beta-D-xylopyranoside monoacetate	*initial rate ratio between 2-, 3-, and 4-O-acetyl 4-nitrophenyl-beta-D-xylopyranoside is 1:19:17.7
KCAT	Aspergillus oryzae	0.15	4-nitrophenyl-2-O-acetyl-alpha-L-arabinofuranoside	*pH 5.5, 45&deg;C
KCAT	Escherichia coli	0.82	4-nitrophenyl acetate	*at pH 7.0 and 39&deg;C
KCAT	Aspergillus oryzae	0.91	4-nitrophenyl-4-O-acetyl-beta-D-xylopyranoside	*pH 5.5, 45&deg;C
KCAT	Aspergillus oryzae	1.77	4-nitrophenyl-5-O-acetyl-alpha-L-arabinofuranoside	*pH 5.5, 45&deg;C
KCAT	Aspergillus oryzae	1.9	4-nitrophenyl-3-O-acetyl-beta-D-xylopyranoside	*pH 5.5, 45&deg;C
KCAT	Rhodococcus sp.	3	phenyl acetate	*recombinant enzyme, pH 6.4
KCAT	Aspergillus oryzae	3.23	4-nitrophenyl-2-O-acetyl-beta-D-xylopyranoside	*pH 5.5, 45&deg;C
KCAT	Pseudomonas putida	5.5	4-nitrophenyl acetate	*at pH 8.0 and 20&deg;C
KCAT	Escherichia coli	6.2	tributyrin	*wild type enzyme, in 20 mM phosphate buffer (pH 7.1), at 30&deg;C
KCAT	Escherichia coli	6.9	tributyrin	*mutant enzyme R48K, in 20 mM phosphate buffer (pH 7.1), at 30&deg;C
KCAT	Marchantia polymorpha	7	2-t-butylcyclohex-1-en-1-yl acetate	*isoenzyme Est I, pH 7.0, 35&deg;C
KCAT	Escherichia coli	9.3	tributyrin	*mutant enzyme R48E, in 20 mM phosphate buffer (pH 7.1), at 30&deg;C
KCAT	Rhodococcus sp.	12.6	6-acetylmorphine	*recombinant enzyme, pH 8.0
KCAT	Marchantia polymorpha	14	2-isopropylcyclohex-1-en-1-yl acetate	*isoenzyme Est I, pH 7.0, 35&deg;C
KCAT	Marchantia polymorpha	17	2-t-butylcyclohex-1-en-1-yl acetate	*isoenzyme Est II, pH 7.0, 35&deg;C
KCAT	Escherichia coli	17.4	tributyrin	*mutant enzyme R48A, in 20 mM phosphate buffer (pH 7.1), at 30&deg;C
KCAT	Escherichia coli	17.5	tributyrin	*mutant enzyme R48S, in 20 mM phosphate buffer (pH 7.1), at 30&deg;C
KCAT	Marchantia polymorpha	20	2-benzylcyclohex-1-en-1-yl acetate	*isoenzyme Est I, pH 7.0, 35&deg;C
KCAT	Escherichia coli	21	4-nitrophenyl-butanoate	*pH 7.1, 25&deg;C, recombinant wild-type enzyme
KCAT	Talaromyces cellulolyticus	21.8	4-nitrophenyl acetate	*mutant enzyme S10A, at pH 5.5 and 50&deg;C
KCAT	Marchantia polymorpha	26	2-n-pentylcyclohex-1-en-1-yl acetate	*isoenzyme Est II, pH 7.0, 35&deg;C
KCAT	Talaromyces cellulolyticus	26.2	4-nitrophenyl acetate	*mutant enzyme C16A, at pH 5.5 and 50&deg;C
KCAT	Escherichia coli	29	4-nitrophenyl butyrate	*mutant enzyme R48K, in 20 mM phosphate buffer (pH 7.1), at 30&deg;C; wild type enzyme, in 20 mM phosphate buffer (pH 7.1), at 30&deg;C
KCAT	Escherichia coli	29	4-nitrophenyl butyrate	*wild type enzyme, in 20 mM phosphate buffer, at pH 7.1 and 30&deg;C
KCAT	Talaromyces cellulolyticus	29.8	4-nitrophenyl butyrate	*wild type enzyme, at pH 5.5 and 50&deg;C
